n.plot,cod.num,severity,slope,aspect,elev.m,tran.size,origen,site,count,mean,median,percent.total
1,2,High,8,270,1612,large,native,CM,4,5,3.5,20
1,2,High,8,270,1612,large,exotic,CM,3,5,5,15
1,2,High,8,270,1612,large,NA,CM,7,52.14285714,65,365
2,2,High,18,348,1237,large,exotic,CM,7,9.428571429,5,66
2,2,High,18,348,1237,large,NA,CM,7,38.14285714,30,267
2,2,High,18,348,1237,large,native,CM,3,22.33333333,5,67
3,2,High,22,10,1553,large,NA,CM,4,0,0,0
4,2,High,28,306,1660,large,exotic,CM,3,2,2,6
4,2,High,28,306,1660,large,native,CM,6,4.333333333,3,26
4,2,High,28,306,1660,large,NA,CM,6,61.33333333,76.5,368
5,2,High,14,348,1248,large,native,CM,5,20.6,3,103
5,2,High,14,348,1248,large,exotic,CM,6,13.16666667,14,79
5,2,High,14,348,1248,large,NA,CM,4,52.5,57.5,210
6,2,High,26,28,1641,large,native,CM,6,15,15,90
6,2,High,26,28,1641,large,NA,CM,5,55,50,275
6,2,High,26,28,1641,large,exotic,CM,1,35,35,35
7,2,High,32,30,1649,large,NA,CM,4,0,0,0
8,2,High,22,40,1612,large,NA,CM,4,0,0,0
9,2,High,10,120,1506,large,native,CM,4,38.25,42.5,153
9,2,High,10,120,1506,large,exotic,CM,5,3,3,15
9,2,High,10,120,1506,large,NA,CM,5,47.4,47,237
10,2,High,34,140,1397,large,native,CM,6,16.66666667,15.5,100
10,2,High,34,140,1397,large,exotic,CM,12,4.083333333,2,49
10,2,High,34,140,1397,large,NA,CM,8,31.375,34,251
11,2,High,12,248,1708,large,NA,CM,8,50,50,400
12,2,High,22,160,1250,large,exotic,CM,8,12.75,5,102
12,2,High,22,160,1250,large,NA,CM,7,36.42857143,25,255
12,2,High,22,160,1250,large,native,CM,1,43,43,43
13,2,High,16,168,1553,large,NA,CM,8,49.375,50,395
13,2,High,16,168,1553,large,exotic,CM,1,3,3,3
13,2,High,16,168,1553,large,native,CM,1,2,2,2
14,2,High,16,166,1423,large,exotic,CM,6,20.16666667,3.5,121
14,2,High,16,166,1423,large,native,CM,3,21.33333333,3,64
14,2,High,16,166,1423,large,NA,CM,5,43,30,215
15,2,High,10,172,1490,large,NA,CM,8,47.75,48.5,382
15,2,High,10,172,1490,large,exotic,CM,2,6.5,6.5,13
15,2,High,10,172,1490,large,native,CM,1,5,5,5
16,2,High,26,270,1745,large,native,CM,1,20,20,20
16,2,High,26,270,1745,large,NA,CM,5,75.8,80,379
16,2,High,26,270,1745,large,exotic,CM,1,1,1,1
17,2,High,28,312,1616,large,exotic,CM,2,11.5,11.5,23
17,2,High,28,312,1616,large,NA,CM,9,35.77777778,37,322
17,2,High,28,312,1616,large,native,CM,8,6.875,3.5,55
18,2,High,14,314,1609,large,native,CM,3,34,30,102
18,2,High,14,314,1609,large,exotic,CM,4,25.5,5,102
18,2,High,14,314,1609,large,NA,CM,6,32.66666667,25,196
19,2,High,22,170,1310,large,exotic,CM,9,12.88888889,5,116
19,2,High,22,170,1310,large,NA,CM,8,26.875,25,215
19,2,High,22,170,1310,large,native,CM,4,17.25,18,69
20,2,High,12,134,1577,large,exotic,CM,8,17.125,6.5,137
20,2,High,12,134,1577,large,NA,CM,5,51.6,65,258
20,2,High,12,134,1577,large,native,CM,1,5,5,5
21,1,Low,26,330,1192,large,exotic,CM,8,26.625,25,213
21,1,Low,26,330,1192,large,native,CM,9,3.444444444,3,31
21,1,Low,26,330,1192,large,NA,CM,4,40,42.5,160
22,1,Low,30,330,1631,large,NA,CM,4,0,0,0
23,1,Low,42,250,1672,medium,native,CM,13,15,10,195
23,1,Low,42,250,1672,medium,NA,CM,5,40,35,200
23,1,Low,42,250,1672,medium,exotic,CM,1,5,5,5
24,1,Low,10,208,1533,medium,native,CM,10,14.9,7,149
24,1,Low,10,208,1533,medium,NA,CM,6,41.83333333,32.5,251
25,1,Low,10,276,1238,medium,native,CM,13,18.61538462,15,242
25,1,Low,10,276,1238,medium,NA,CM,6,25.33333333,24,152
25,1,Low,10,276,1238,medium,exotic,CM,3,2,2,6
26,1,Low,36,58,1608,large,native,CM,7,13.57142857,5,95
26,1,Low,36,58,1608,large,NA,CM,8,38.125,32.5,305
27,1,Low,26,330,1680,medium,native,CM,6,16.66666667,15,100
27,1,Low,26,330,1680,medium,NA,CM,7,42.85714286,60,300
28,1,Low,28,164,1266,medium,exotic,CM,6,12.33333333,2.5,74
28,1,Low,28,164,1266,medium,native,CM,10,24.5,25,245
28,1,Low,28,164,1266,medium,NA,CM,3,27,26,81
29,1,Low,22,94,1724,large,native,CM,11,6.181818182,5,68
29,1,Low,22,94,1724,large,NA,CM,8,41.5,37.5,332
30,1,Low,22,48,1673,medium,native,CM,20,13.65,7.5,273
30,1,Low,22,48,1673,medium,NA,CM,2,63,63,126
30,1,Low,22,48,1673,medium,exotic,CM,1,1,1,1
31,1,Low,12,152,1661,medium,native,CM,6,7,3.5,42
31,1,Low,12,152,1661,medium,NA,CM,8,44.75,40,358
32,1,Low,20,180,1561,medium,native,CM,10,15.1,2.5,151
32,1,Low,20,180,1561,medium,NA,CM,6,41.5,22.5,249
33,1,Low,40,308,1664,large,native,CM,10,21,11.5,210
33,1,Low,40,308,1664,large,NA,CM,4,47.5,45,190
34,1,Low,28,156,1231,small,native,CM,12,6.583333333,2,79
34,1,Low,28,156,1231,small,NA,CM,8,39.625,36,317
34,1,Low,28,156,1231,small,exotic,CM,2,2,2,4
35,1,Low,26,352,1536,medium,native,CM,16,14.375,10,230
35,1,Low,26,352,1536,medium,NA,CM,4,42.5,40,170
36,1,Low,12,284,1594,medium,native,CM,11,8.181818182,6,90
36,1,Low,12,284,1594,medium,NA,CM,6,37.66666667,37.5,226
36,1,Low,12,284,1594,medium,exotic,CM,1,85,85,85
37,1,Low,26,256,1550,large,native,CM,19,18.15789474,15,345
37,1,Low,26,256,1550,large,NA,CM,2,27.5,27.5,55
38,1,Low,22,20,1150,large,native,CM,13,10.23076923,5,133
38,1,Low,22,20,1150,large,exotic,CM,4,7.25,5.5,29
38,1,Low,22,20,1150,large,NA,CM,4,59.5,59,238
39,1,Low,16,60,1565,medium,native,CM,17,11.23529412,7,191
39,1,Low,16,60,1565,medium,NA,CM,4,52.25,47.5,209
40,1,Low,24,18,1586,medium,native,CM,22,11.81818182,5,260
40,1,Low,24,18,1586,medium,NA,CM,3,46.66666667,50,140
41,0,None,6,338,1664,medium,native,CM,11,12.45454545,7,137
41,0,None,6,338,1664,medium,NA,CM,5,52.6,80,263
42,0,None,14,284,1523,medium,native,CM,21,17.61904762,5,370
42,0,None,14,284,1523,medium,NA,CM,2,15,15,30
43,0,None,6,352,1511,large,native,CM,16,23.125,17.5,370
43,0,None,6,352,1511,large,NA,CM,1,30,30,30
44,0,None,10,138,1500,medium,native,CM,23,17.39130435,5,400
45,0,None,4,270,1580,medium,native,CM,11,9.363636364,5,103
45,0,None,4,270,1580,medium,NA,CM,8,37.125,32.5,297
46,0,None,14,334,1525,large,native,CM,13,20.23076923,8,263
46,0,None,14,334,1525,large,NA,CM,4,34.25,33.5,137
47,0,None,8,90,1466,large,native,CM,23,13.91304348,5,320
47,0,None,8,90,1466,large,NA,CM,1,80,80,80
48,0,None,2,156,1479,medium,native,CM,24,12.08333333,5,290
48,0,None,2,156,1479,medium,NA,CM,4,27.5,30,110
49,0,None,38,110,1644,large,native,CM,16,15.75,7.5,252
49,0,None,38,110,1644,large,NA,CM,5,29.6,30,148
50,0,None,14,30,1642,medium,native,CM,20,14.75,5,295
50,0,None,14,30,1642,medium,NA,CM,6,17.5,9,105
51,0,None,12,244,1585,medium,native,CM,15,14.33333333,5,215
51,0,None,12,244,1585,medium,NA,CM,5,37,30,185
52,0,None,18,228,1634,small,native,CM,27,13.55555556,5,366
52,0,None,18,228,1634,small,NA,CM,2,17,17,34
53,0,None,10,222,1053,medium,native,CM,20,15,9,300
53,0,None,10,222,1053,medium,NA,CM,3,26.33333333,25,79
53,0,None,10,222,1053,medium,exotic,CM,3,7,5,21
54,0,None,22,208,1612,large,native,CM,21,7.619047619,5,160
54,0,None,22,208,1612,large,NA,CM,5,48,50,240
55,0,None,18,180,1666,medium,native,CM,23,15.39130435,10,354
55,0,None,18,180,1666,medium,NA,CM,2,23,23,46
56,0,None,14,192,1064,medium,native,CM,4,5.75,5.5,23
56,0,None,14,192,1064,medium,NA,CM,6,62.83333333,81,377
57,0,None,10,20,1599,medium,native,CM,21,18.23809524,5,383
57,0,None,10,20,1599,medium,NA,CM,1,17,17,17
58,0,None,40,186,1509,medium,native,CM,34,11.76470588,4.5,400
59,0,None,20,212,1104,medium,native,CM,13,13.84615385,8,180
59,0,None,20,212,1104,medium,exotic,CM,1,5,5,5
59,0,None,20,212,1104,medium,NA,CM,6,35.83333333,27.5,215
60,0,None,16,180,1554,large,native,CM,27,12.40740741,5,335
60,0,None,16,180,1554,large,NA,CM,3,21.66666667,25,65
